date,cloud_percentage,B1,B2,B3,B4,B5,B6,B7,B8,B9,B11,B12
2024-04-03,76.484376,4381.027851458885,3069.3914677276744,2795.140141467728,2564.0512820512818,3010.1856763925725,3587.80658709107,3993.662687886827,3515.8764367816093,9831.32095490716,2749.4668435013255,2482.3580901856762
2024-04-08,79.135174,538.591290893015,680.4297082228117,913.7663572060123,669.9714854111404,1252.226127320955,2622.7161803713534,3090.6370468611844,3032.746905393457,4171.578470380195,1372.3507957559675,791.1938549955792
2024-04-13,41.574451,453.92860300618923,493.0994694960212,713.1962864721486,506.7990716180371,1042.644341290893,2387.9429708222806,2963.6808134394346,2841.0859858532262,3782.265473032714,1455.8094606542884,816.511273209549
2024-04-18,31.115398,947.7318744473916,673.4133510167993,943.2789566755083,736.935676392573,1338.8877099911583,2957.0625552608312,3577.602122015915,3336.7948717948716,3806.8477011494256,1952.0996905393458,1177.4400972590624
2024-04-23,82.853889,18939.076038903622,17463.613616268784,14607.04730327144,12458.511052166225,12317.478558797522,10244.103227232537,9064.605216622456,10208.09239610964,18276.797966401413,1870.748231653404,2031.5545977011495
2024-04-28,53.904605,3748.770114942529,2265.400972590628,2502.8576480990273,2453.0862068965516,3127.572281167109,4288.315649867373,4829.923740053049,4160.122679045093,6671.7692307692305,3451.3835101679924,2549.407382847038
2024-05-03,30.362433,416.28625110521665,415.4370026525199,541.8373121131742,391.14412024756854,786.389920424403,1880.1509725906278,2478.9871794871797,2378.2948717948716,2646.8479221927496,1232.548187444739,663.8892572944295
2024-05-08,29.671672,4425.74314765694,4654.584217506632,4397.633952254642,4185.958222811671,4618.233200707339,4928.387488947832,5078.535809018569,5022.561007957559,6569.50839964633,4556.99557913351,3752.4190981432366
2024-05-13,55.800569,460.22236958443847,456.7953138815208,565.5554818744473,431.5103890362511,833.1556145004423,1887.93899204244,2505.920424403183,2437.8006189213083,2546.345269672856,1306.7197170645445,714.893015030946
2024-05-18,39.449462,716.9440760389035,651.1666666666666,780.9487179487179,624.341290893015,1028.627541998232,2041.692970822281,2488.8076923076924,2418.863616268788,2534.9639699381078,1357.6233421750662,758.6145004420865
2024-05-23,69.555533,8658.077586206897,8161.837754199823,7424.291114058355,6926.887931034482,7174.881741821396,6792.195402298849,6738.585322723254,6435.803934571176,16062.763483642795,4744.201149425286,4210.647877984085
2024-05-28,19.821548,705.9113616268789,686.1394783377542,831.646109637489,673.7645888594164,1132.8227232537574,2111.8317860300617,2482.531388152078,2448.881078691423,2477.870468611848,1397.455128205128,751.7444739168878
