================================================================================
SAWAH CLASSIFICATION KNN-DTW TUNING EXPERIMENT
Date: 2025-05-21 15:00:49
Dataset: evi_campaka.csv
Labels: label_sawah_campaka.csv
EVI mode: True
================================================================================

EXPERIMENT PARAMETERS:
DTW constraints: ['sakoe_chiba']
DTW slopes: [1]
DTW radii: [15, 30, 60]
KNN values: [3, 7, 11, 15, 19]
Start years: [2015, 2018, 2021]
Year spans: [3, 5, 7]

Total combinations to test: 135

RESULTS:
--------------------------------------------------------------------------------
Iter  Year Range      DTW Parameters       k               Accuracy   Time (s)       
--------------------------------------------------------------------------------
95    2021-2024       sakoe_chiba, slope=1, rad=15 19              0.8318     207.92         
96    2021-2024       sakoe_chiba, slope=1, rad=30 3               0.8135     217.04         
97    2021-2024       sakoe_chiba, slope=1, rad=30 7               0.8382     218.96         
98    2021-2024       sakoe_chiba, slope=1, rad=30 11              0.8422     221.19         
99    2021-2024       sakoe_chiba, slope=1, rad=30 15              0.8409     220.10         
100   2021-2024       sakoe_chiba, slope=1, rad=30 19              0.8331     217.71         
101   2021-2024       sakoe_chiba, slope=1, rad=60 3               0.8226     237.99         
102   2021-2024       sakoe_chiba, slope=1, rad=60 7               0.8409     236.70         
103   2021-2024       sakoe_chiba, slope=1, rad=60 11              0.8357     237.04         
104   2021-2024       sakoe_chiba, slope=1, rad=60 15              0.8383     235.64         
105   2021-2024       sakoe_chiba, slope=1, rad=60 19              0.8383     235.86         
106   2021-2026       sakoe_chiba, slope=1, rad=15 3               0.8200     768.64         
107   2021-2026       sakoe_chiba, slope=1, rad=15 7               0.8436     775.03         
108   2021-2026       sakoe_chiba, slope=1, rad=15 11              0.8436     786.49         
109   2021-2026       sakoe_chiba, slope=1, rad=15 15              0.8410     783.87         
110   2021-2026       sakoe_chiba, slope=1, rad=15 19              0.8423     788.31         
111   2021-2026       sakoe_chiba, slope=1, rad=30 3               0.8200     794.52         
112   2021-2026       sakoe_chiba, slope=1, rad=30 7               0.8461     774.19         
113   2021-2026       sakoe_chiba, slope=1, rad=30 11              0.8370     782.27         
114   2021-2026       sakoe_chiba, slope=1, rad=30 15              0.8332     803.08         
115   2021-2026       sakoe_chiba, slope=1, rad=30 19              0.8383     813.90         
116   2021-2026       sakoe_chiba, slope=1, rad=60 3               0.8278     839.86         
117   2021-2026       sakoe_chiba, slope=1, rad=60 7               0.8383     838.57         
118   2021-2026       sakoe_chiba, slope=1, rad=60 11              0.8397     808.78         
119   2021-2026       sakoe_chiba, slope=1, rad=60 15              0.8358     801.47         
120   2021-2026       sakoe_chiba, slope=1, rad=60 19              0.8371     801.97         
121   2021-2028       sakoe_chiba, slope=1, rad=15 3               0.8200     757.39         
122   2021-2028       sakoe_chiba, slope=1, rad=15 7               0.8436     757.72         
123   2021-2028       sakoe_chiba, slope=1, rad=15 11              0.8436     779.57         
124   2021-2028       sakoe_chiba, slope=1, rad=15 15              0.8410     788.57         
125   2021-2028       sakoe_chiba, slope=1, rad=15 19              0.8423     778.24         
126   2021-2028       sakoe_chiba, slope=1, rad=30 3               0.8200     802.58         
127   2021-2028       sakoe_chiba, slope=1, rad=30 7               0.8461     801.68         
128   2021-2028       sakoe_chiba, slope=1, rad=30 11              0.8370     803.22         
129   2021-2028       sakoe_chiba, slope=1, rad=30 15              0.8332     803.10         
130   2021-2028       sakoe_chiba, slope=1, rad=30 19              0.8383     801.77         
131   2021-2028       sakoe_chiba, slope=1, rad=60 3               0.8278     830.84         
132   2021-2028       sakoe_chiba, slope=1, rad=60 7               0.8383     823.29         
133   2021-2028       sakoe_chiba, slope=1, rad=60 11              0.8397     830.38         
