datetime,temperature_2m,temperature_2m_min,temperature_2m_max,soil_temperature_level_1,soil_temperature_level_2,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,total_precipitation_sum,dewpoint_temperature_2m,surface_solar_radiation_downwards_sum,surface_net_solar_radiation_sum,total_evaporation_sum,u_component_of_wind_10m,v_component_of_wind_10m,temperature_range
2018-07-13,295.52575460868115,290.4983957947938,300.496349794416,297.2204632883428,297.1486727531062,0.2590097127622748,0.2924496030370646,0.3219687399350059,0.00014608578390052626,287.7950338077344,18675148.431289643,16161163.695560254,-0.0035221237082814,-0.1785467428754466,0.2660182090272694,9.997953999622212
2018-07-14,295.2630008928703,291.17623285208896,300.3241459400911,297.5038081122755,297.1993080351536,0.2619299105643554,0.2876958638702672,0.3202798989896122,0.0036428270875235,288.7914875035894,17977865.399577167,15558798.46511628,-0.0033692507699415,0.0459495474537801,0.3369530747691202,9.147913088002156
2018-07-15,294.80223413484885,291.2027190129802,298.98437922600715,296.67745924634437,296.94191956738507,0.2885324130014604,0.2847709386931749,0.3191758116170333,0.0008561375781245425,289.5316867290709,15148613.458773782,13111148.558139533,-0.0032081315293908,0.1103100833798731,0.5658650136145174,7.781660213026953
2018-07-16,295.7949617760882,291.7907944854672,300.64376827828727,297.3815370469635,297.1076966662739,0.2811182329905041,0.2815473837445873,0.3177843436630281,7.571955858658367e-05,288.9722372220384,18029775.154334035,15602826.989429174,-0.0034946201774774,-0.1982504674630571,-0.3729047865158575,8.85297379282008
2018-07-17,295.92632491963275,292.16540685415765,300.9208988246151,297.4418015873205,297.33289091850855,0.2718078486931164,0.2782631861315048,0.3162543005805522,9.457949099892577e-05,288.77625571984146,16657644.85835095,14414461.809725156,-0.0030695926673694,-0.0445351550241353,-0.1727464542664466,8.755491970457456
2018-07-18,296.87819553076844,292.49579728430973,301.7718264234998,298.2711478133199,297.6616324518162,0.2636572842534114,0.2748326979698304,0.3144757551068231,5.832046711419653e-05,289.07441604028213,19971805.62367864,17282167.966173362,-0.0035265560358384,0.0461096894665449,0.0412956026761442,9.276029139190086
2018-07-19,296.79605471911435,293.16581626069467,302.01423961163573,298.4624726064949,298.00028243007756,0.2571884367649113,0.2715211469073628,0.3125696457801694,5.797731185142698e-05,289.52795209474675,19301392.25792812,16700526.807610992,-0.0033111881669492,-0.2739132860330228,-0.7502464408014256,8.848423350941061
2018-07-20,297.14166865305134,293.5301025906778,301.4180995304035,298.7532876641755,298.180875381674,0.2532903927997269,0.2688254785840153,0.3108698244746761,0.00018849028835186263,290.23217294113664,16851290.701902743,14579793.171247358,-0.0028435249850311,-0.0131881100934857,-0.2046783990302163,7.887996939725667
2018-07-21,296.232896081657,292.86174320922595,300.0976953486307,298.36548126575553,298.242721519981,0.2557633086104389,0.2668124582668355,0.309494005113189,0.0010413479303125,290.92659782237615,15387487.627906974,13311649.479915433,-0.0026236949390072,-0.1413243450355664,0.0589641462000765,7.235952139404731
2018-07-22,297.28553493061565,292.3046858870202,302.76557541700043,299.08695554565253,298.4614865314464,0.2531852990997938,0.2645345288653706,0.3076858923752766,3.69936668892336e-05,289.58113862562544,20242397.50105708,17512820.993657503,-0.0033848719872203,-0.1784436774976325,0.7410762948499253,10.46088952998025
2018-07-23,296.88445481991914,292.75470432015345,302.0066542191938,299.1766362260814,298.671284037799,0.2505366773652391,0.2623841229923348,0.3058073959189287,0.0003646179210238714,290.79230982086204,19423569.24735729,16802544.782241013,-0.0030121559210231,-0.5316071352377335,0.0144563771369509,9.251949899040369
2018-07-24,296.9393532640754,293.0456225856918,301.33908155251754,299.29508437465165,298.8292809352646,0.2494089759681492,0.2605712291134168,0.3040465031651395,0.0003742312690790729,290.3901343705203,20024138.83298097,17321277.657505285,-0.0030388808819065,-0.3326979066554386,-0.3903299751543847,8.293458966825767
2018-07-25,296.773852495512,292.52756156679436,301.959541465969,299.14830750995657,298.83682609058076,0.2468040606100178,0.2589628261273137,0.3022915327355759,0.00013726618111395587,290.03425797885194,18740580.676532764,16210580.00845666,-0.0028365760072908,-0.3424324912030231,-0.3478220894439191,9.431979899174621
2018-07-26,296.53069056483366,291.72914594525264,301.7327845696415,299.08864810048397,298.83659864026447,0.2442116122417167,0.2575043859071845,0.3005044384688201,0.0001885084787059332,289.5684889698633,19692852.85835095,17032532.126849893,-0.0028554189154764,-0.4520967347761373,-0.2919609229946069,10.003638624388884
2018-07-27,296.24720944410655,288.97958154658176,302.64971397996703,298.83059245721813,298.8024832326985,0.2411741024175943,0.2561003326781624,0.2985659700787513,1.3740444773147883e-06,287.80344668301666,22269875.006342497,19260843.572938684,-0.0031090114604343,-0.1913868445086596,0.1083760801715864,13.670132433385277
2018-07-28,296.05436686246304,290.26473260278675,302.0821094472615,298.78608088395896,298.54252392780285,0.2378964897946121,0.2548565061433455,0.2966599938229325,1.7856611992555315e-06,288.30100339898934,21928029.107822407,18964548.718816064,-0.002873168151676,-0.1737684111430495,0.0548788812313388,11.817376844474722
2018-07-29,296.3359405216488,291.2232005661688,301.72240794788706,298.9721599199807,298.6168359201336,0.2353811526147305,0.2538091701214544,0.2948854176237013,5.242193223564743e-05,288.08401263978294,20582182.274841435,17800038.410147995,-0.002701882706132,-0.2440519111101017,-0.250136762542402,10.499207381718236
2018-07-30,296.68287911122746,292.1767745229709,302.06970330978294,299.1272327995703,298.76202468522587,0.2335391296644795,0.2528921628687228,0.2931761254383864,8.739099442076732e-05,287.9206896520484,20797726.308668073,17986258.697674416,-0.0026592880952118,-0.3569639191146969,-0.5947973967606623,9.892928786812035
2018-07-31,296.8837848956355,292.28092840408414,302.306812278312,299.4612816063933,298.9614625921377,0.2324536547348313,0.2520764184888607,0.2914745110369972,0.0001338917155548747,288.1092082501466,20959272.689217757,18124259.458773788,-0.002694572871413,-0.2687674072781778,-0.4373651034736229,10.025883874227873
2018-08-01,296.42889171758947,290.7319484654239,302.58176372116765,299.54289647775096,299.14277850548257,0.2339594722046156,0.2513760048541659,0.2898525415464889,0.000808411332562979,288.73108481419933,20196842.42283298,17464600.625792813,-0.002696487765137,-0.1024288717838472,0.3325838878005218,11.84981525574375
2018-08-02,296.14276413920896,290.88707418623227,302.1943090975158,299.1388279106349,299.04902734413713,0.2346363309573925,0.2507461967226315,0.2881457588889382,9.921678271975352e-06,285.89203749314595,23127816.63002114,19998819.192389004,-0.0030025771009808,0.0407010630203688,0.8858290222684121,11.307234911283558
2018-08-03,294.43459122881575,288.22416445064744,300.55884272956445,298.0596034646118,298.5520083889145,0.2325611477422411,0.2502358216815972,0.2867312508624066,1.2355198566394778e-05,287.30955170274535,19798838.896405917,17120040.14799154,-0.0021937698988247,0.3103830352310062,1.5011987484534748,12.33467827891701
2018-08-04,294.6584079210148,289.2014820832782,300.15907313405336,298.1144437689106,298.137403684405,0.2308033653511977,0.2497924296598857,0.2854121720984084,2.174813450012852e-06,286.5532362550139,20468936.558139533,17697604.31712473,-0.0022578071507509,0.4051606243474959,0.9172062410108636,10.957591050775136
2018-08-05,294.59444718229844,289.51635190548404,299.7255297735428,297.9156026268946,298.0285402221357,0.2297615900772234,0.2494288142757402,0.284256740889976,0.00013552521225589017,287.1141972383871,17774598.596194502,15367382.803382665,-0.0019602105139614,0.4194702729110233,1.2315550703158924,10.20917786805876
2018-08-06,295.2934336269129,290.20876671950356,301.0571918447224,298.7272202167148,298.3434340320396,0.2288854853043344,0.2490366585578945,0.2828766686383732,8.612870487922919e-07,285.7024503967306,23142801.5179704,20007120.435517967,-0.0025289350486582,-0.0012213254663791,0.0537798729809847,10.848425125218853
2018-08-07,295.31942329111024,291.3550799573451,299.26443371762684,298.0480783084818,298.20254510687295,0.2289779520606053,0.2487569678577426,0.2818604886657843,0.00023185001009695552,288.04120353446035,15063589.704016913,13018947.551797038,-0.0016940308510312,0.0198891177994,-0.1703250832419902,7.9093537602817605
2018-08-08,295.93638897412586,291.7466259688202,300.3098264536948,298.44445425629027,298.2205112946545,0.2301694777248777,0.2485341010923701,0.2810469312177232,0.0003075010313199793,288.86699569250516,15778479.183932347,13639247.78012685,-0.0017494234624643,-0.1641389498666947,-0.399282993860359,8.563200484874642
2018-08-09,296.20591441874274,292.18873502638576,300.732832313844,299.1643334214665,298.61556936671315,0.2328036417836786,0.248312074420652,0.2801213980225125,0.0006594981123982726,289.8245107047233,17910849.7589852,15480449.450317122,-0.0020890376091507,0.0048747301269703,0.4815246984100073,8.544097287458271
2018-08-10,296.6251191037737,292.16870555918007,302.1452273798292,299.3135191787709,298.90500259130584,0.2332895022198043,0.2480924389915116,0.279113742648253,0.00014936671952616587,288.5367055265226,18355604.84566596,15865595.73361522,-0.0021416098351962,-0.0543384672975439,0.7116887407289415,9.976521820649111
2018-08-11,297.08193792567613,292.902958456608,302.3742349636731,300.12210229116897,299.258070239389,0.2333067557272397,0.2478765268574473,0.2780390800599735,0.0004335983296011168,289.66160074197717,19880960.65116279,17182222.955602538,-0.0022441875189542,-0.2056447661536272,-0.6553816520638495,9.471276507065056
2018-08-12,296.9953225426812,293.71418117015105,301.5512309165132,300.06264337643165,299.54271362767076,0.2350182993635483,0.2476958663972689,0.2770812913008858,0.0005006895189832141,290.1936950266907,18830965.36997886,16275000.40591966,-0.0021540181077307,-0.1575861992005985,-0.781384057440835,7.8370497463621405
2018-08-13,296.84584357387337,293.0376176249401,300.3403957116932,299.8196350457888,299.5398335903777,0.2423616628398182,0.2475541943475509,0.2763192967851032,0.0015249268955847,290.45639470230117,17966222.38477801,15526105.957716702,-0.0023393630036339,-0.2793014034408344,-0.1511292230755279,7.302778086753108
